Gene	Degree	Exp	Low	High	Sum	Avg
AT1G51600	12	5.92357	0.918485	230.421	367.391785	33.3992531818
AT4G35110	12	1.66465	3.56825	172.545	411.89146	34.3242883333
AT5G07110	12	10.5971	1.22384	114.344	385.19524	35.0177490909
AT3G27080	12	26.1001	1.13151	238.346	462.94312	38.5785933333
AT3G28715	12	49.3624	0.071925	318.06	463.940311	38.6616925833
AT5G49210	12	15.7194	0.207116	349.92	491.964786	40.9970655
AT1G76920	12	7.91021	1.4816	119.988	311.7953	51.9658833333
AT4G26090	12	2.19682	0.217507	334.617	997.068827	83.0890689167
AT2G16850	12	15.5022	0.872886	369.564	1231.159356	102.596613
AT5G19280	12	5.49675	1.77998	1037.77	1286.16174	107.180145
AT1G34430	12	44.8352	1.56031	1789.78	2262.13583	205.6487118182
AT4G29930	12	0.405648	0.0629609	3656.06	5342.4839949	445.206999575
AT4G36870	13	8.82931	0.167371	18.1358	61.244937	5.10374475
AT3G29575	13	5.611	0.385144	24.3746	65.267426	6.5267426
AT5G23880	13	6.31196	0.383645	12.1656	66.446505	6.6446505
AT5G06950	13	3.5913	0.82543	37.5252	117.370502	9.0285001538
AT4G09820	13	1.19449	0.12154	46.9348	91.534112	9.1534112
AT2G39100	13	1.79453	0.207116	40.4341	115.001736	9.583478
AT1G75630	13	46.1691	0.872886	37.9672	97.964076	9.7964076
AT2G30880	13	8.20635	1.22384	27.4358	120.67258	10.0560483333
AT5G51010	13	122.462	0.872886	37.9672	129.271426	10.7726188333
AT1G54770	13	12.3376	0.589052	40.4341	143.668082	11.0513909231
AT5G17690	13	6.19656	1.66465	38.095	127.56392	12.756392
AT1G28050	13	6.39652	1.76768	32.3748	120.39068	13.3767422222
AT4G15930	13	32.9489	0.789738	84.6724	159.648479	14.5134980909
AT1G66340	13	5.19312	1.01185	109.245	204.79851	18.6180463636
AT5G57050	13	1.80902	2.21386	68.5883	218.42004	19.8563672727
AT1G09140	13	17.4163	0.811947	44.0006	257.992497	21.49937475
AT5G18810	13	0.811947	6.00635	39.4073	220.43285	22.043285
AT3G13570	13	22.8771	0.811947	40.1812	246.888397	22.4443997273
AT1G55310	13	17.3992	0.811947	40.1812	249.369717	22.6699742727
AT1G76760	13	2.08579	1.78076	166.659	320.4584	24.6506461538
AT5G51120	13	36.602	0.918485	115.68	283.076635	25.7342395455
AT1G05410	13	6.0682	0.323302	96.7602	334.136002	27.8446668333
AT5G07730	13	2.35868	1.22384	122.462	347.51659	28.9597158333
AT3G61140	13	16.5185	3.26806	74.8742	295.51046	29.551046
AT1G03130	13	1401.12	0.405648	295.452	438.556538	33.7351183077
AT4G01920	13	0.15381	0.202698	130.063	422.523508	35.2102923333
AT4G22720	13	7.97327	1.78076	349.92	436.30481	36.3587341667
AT3G54826	13	15.6008	0.0981202	349.92	461.8128702	38.48440585
AT2G25490	13	13.5695	8.47261	119.988	389.61449	38.961449
AT5G10450	13	106.482	2.38271	199.476	719.90995	55.3776884615
AT3G09250	13	25.1157	0.143054	239.712	646.251004	58.7500912727
AT3G06530	13	6.53449	2.41874	526.827	826.13218	63.5486292308
AT1G03630	13	238.346	0.872886	618.344	735.617126	73.5617126
AT4G26110	13	43.7063	2.66243	533.563	1598.38089	145.3073536364
AT2G28800	13	244.436	8.19113	740.98	2731.10843	248.2825845455
AT4G00480	14	4.87092	0.12154	46.9348	82.136924	6.3182249231
AT1G70700	14	34.6353	0.17091	17.5789	96.841327	8.0701105833
AT1G23380	14	1.01918	0.247109	15.2093	109.656253	8.4350963846
AT2G33610	14	7.60183	1.80902	27.2792	106.25966	8.8549716667
AT1G15570	14	8.25138	0.071925	31.4208	110.763715	9.2303095833
AT2G41350	14	10.3309	2.48984	18.1358	126.19383	9.7072176923
AT5G25150	14	5.01177	0.132368	32.7858	122.563675	11.1421522727
AT3G44720	14	14.6403	2.08579	34.8309	125.9638	11.4512545455
AT1G04100	14	1.48503	0.834318	41.3608	139.652418	11.6377015
AT3G21175	14	10.1531	0.918485	41.2629	143.383305	11.94860875
AT5G13220	14	2.46693	0.17091	34.6353	148.091527	12.3409605833
AT3G15660	14	40.6526	0.604642	23.656	157.979412	13.164951
AT5G46210	14	23.9286	3.26806	42.3026	205.92143	14.7086735714
AT1G69810	14	0.202698	0.15381	107.104	181.187966	15.0989971667
AT2G42870	14	3.71845	0.054337	57.7438	186.190897	15.5159080833
AT5G58040	14	11.7349	2.05671	42.0448	191.83646	17.4396781818
AT3G17668	14	6.61091	3.05285	69.2371	235.67372	18.1287476923
